id;mobile_phone;landline;profile_visible_in_internet;own_website_url;xing_profile_url;linked_in_profile_url
1;Bulgarian Lev Cambridgeshire;Regional;false;systemic;Handmade Savings Account Manager;cultivate Bedfordshire
2;navigate Kiribati;bypass Games Customer-focused;true;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);ADP;Hungary Configurable
3;interface;Toys;false;blue internet solution Concrete;distributed Ranch impactful;Berkshire Awesome
4;pixel Pennsylvania;architectures Cotton;false;customized payment;Grass-roots Cambridgeshire;Personal Loan Account
5;Music;Pants;false;Pizza blue;digital;Internal
6;Sleek Steel Shirt;Strategist Fresh incubate;true;TCP parsing Networked;feed;Assurance Nebraska Mississippi
7;synthesizing;silver;false;channels Buckinghamshire Open-source;pixel;asymmetric Montana Sausages
8;internet solution Checking Account;bleeding-edge Rubber;false;Manager open architecture;Gorgeous Metal Shoes;Investment Account
9;Investment Account cross-platform;Configuration;true;Administrator Frozen matrix;mint green streamline Mobility;Arizona synthesizing Fresh
10;override back-end hacking;open-source;true;Tunisia granular;Maryland Tanzanian Shilling Lights;e-enable Plaza intranet
